資產層級,資產類別,資產名稱,威脅,威脅說明,威脅 Reference,威脅源,威脅源說明,威脅源 Reference,弱點,弱點說明,弱點 Reference,對應ISO 42005資產類別,衝擊類別,衝擊說明,衝擊 Reference
組織,有形資產,AI 系統 (硬體基礎設施),不一致的硬體環境 (Inconsistent Hardware Environments),開發、測試和生產環境使用了不同型號、不同世代或不同配置的硬體，導致模型在不同環境下的行為不一致。,NIST AI RMF 1.0 (Core: GOVERN 3.1),維運團隊 / 採購部門,為了節省成本或因採購批次不同，導致不同環境的硬體規格存在差異。,"NIST SP 800-30 Rev. 1, Appendix D, Table D-3",缺乏對環境一致性的管理與規範,未能建立規範，要求所有環境（至少是測試與生產環境）的關鍵硬體配置必須保持一致。,"NIST AI RMF 1.0, GOVERN 3.1",6.2 硬體,可靠性,在測試環境中表現良好的模型，部署到生產環境後可能因硬體計算方式的細微差異而出現性能下降或非預期的錯誤。,Clause 6.8.2
組織,有形資產,AI 系統 (硬體基礎設施),能源消耗與環境衝擊 (Energy Consumption and Environmental Impact),大規模的 AI 訓練和推論需要消耗巨大的電力，其產生的碳足跡和對環境的影響，可能與組織的 ESG（環境、社會、治理）目標相悖。,"ISO 42005, Clause 6.8.2",系統架構師 / 組織本身,在追求模型性能時，未能充分考慮到其對能源的消耗和對環境的長期影響。,"NIST SP 800-30 Rev. 1, Appendix D, Table D-3",缺乏對 AI 系統能效的評估與優化,在設計和運營 AI 系統時，沒有將能源效率作為一個重要的評估指標，也未能採用綠色運算相關的技術和實踐。,"ISO 42005, Clause 6.8.2",6.2 硬體,責任制,可能導致高昂的運營成本，並對組織的社會責任形象和品牌聲譽造成負面影響，甚至可能面臨未來的碳排放法規風險。,Clause 6.8.2
組織,有形資產,AI 系統 (軟體平台),開源軟體漏洞 (Vulnerabilities in Open-Source Software),"AI 系統所依賴的大量開源函式庫（如 TensorFlow, PyTorch, Scikit-learn）或平台軟體（如 Kubernetes）存在已公開的安全漏洞。",NIST AI RMF 1.0 (Core: GOVERN 2.2),外部攻擊者,攻擊者利用已知的 CVE 漏洞，對未及時更新補丁的 AI 軟體平台發起攻擊。,"NIST SP 800-30 Rev. 1, Appendix D, Table D-2",缺乏軟體組成分析與漏洞管理 (SCA),未能使用工具自動掃描軟體專案所依賴的所有開源元件，並及時發現其中存在的已知漏洞。,"NIST AI RMF 1.0, GOVERN 2.2",6.3 AI 系統資訊,安全性與隱私,攻擊者可能利用漏洞執行遠端程式碼、提升權限、竊取數據或癱瘓整個 AI 服務。,Clause 6.8.2.2
組織,有形資產,AI 系統 (軟體平台),容器逃逸攻擊 (Container Escape Attack),在使用 Docker、Kubernetes 等容器化平台部署 AI 模型時，攻擊者利用容器運行時或核心的漏洞，從一個受控的容器內部「逃逸」到宿主機作業系統，獲得更高權限。,NIST SP 800-30 Rev. 1,外部攻擊者,旨在突破容器的隔離限制，以控制整個底層基礎設施。,"NIST SP 800-30 Rev. 1, Appendix D, Table D-2",容器安全設定與強化不足,容器運行時使用了過高的權限（如 root 權限）、掛載了敏感的宿主機目錄，或未及時更新容器運行時的版本。,"NIST AI RMF 1.0, PROTECT 1.2",6.3 AI 系統資訊,安全性與隱私,一旦攻擊者逃逸到宿主機，他們就可以控制在該機器上運行的所有其他 AI 服務，並可能進一步橫向移動到企業內網。,Clause 6.8.2.1
組織,有形資產,AI 系統 (軟體平台),API 端點暴露與濫用 (API Endpoint Exposure and Abuse),用於提供模型推論服務的 API 端點，因缺乏足夠的認證、授權或速率限制，而被未授權的使用者存取或被惡意濫用。,NIST AI RMF 1.0 (Core: PROTECT 1.3),外部攻擊者 / 腳本小子,旨在發起阻斷服務攻擊、進行大規模的模型萃取，或免費盜用昂貴的 AI 運算資源。,"NIST SP 800-30 Rev. 1, Appendix D, Table D-2",缺乏 API 安全閘道與監控機制,未能部署 API 閘道來統一管理所有 AI 服務的認證、授權、流量控制和日誌記錄。,"NIST AI RMF 1.0, PROTECT 1.3",6.3 AI 系統資訊,可靠性 / 安全性與隱私,導致服務不可用、模型智慧財產權被竊取、運營成本飆升，甚至可能因未授權存取而導致敏感數據外洩。,Clause 6.8.2
組織,有形資產,AI 系統 (軟體平台),MLOps 流程被破壞 (Compromise of MLOps Pipeline),"攻擊者入侵了用於自動化模型訓練、測試和部署的 CI/CD/CT 流程（如 Jenkins, GitLab CI），在其中植入惡意程式碼或篡改模型。",MITRE ATLAS: AML.T0060,供應鏈攻擊者,旨在從源頭上污染組織的 AI 模型，或竊取在流程中處理的敏感數據與憑證。,"NIST SP 800-30 Rev. 1, Appendix D, Table D-2",MLOps 流程的存取控制與憑證管理不善,CI/CD 流程中使用了長期有效的、權限過高的存取金鑰，且對流程的變更缺乏嚴格的審查和監控。,"NIST AI RMF 1.0, PROTECT 1.2",6.3 AI 系統資訊,安全性與隱私 / 可靠性,攻擊者可以在模型部署到生產環境前，神不知鬼不覺地對其進行篡改，其後果極為嚴重且難以被發現。,Clause 6.8.2.2
組織,有形資產,AI 系統 (軟體平台),日誌與監控系統配置不當 (Improper Logging and Monitoring Configuration),軟體平台的日誌紀錄不完整，或監控系統未能覆蓋關鍵的 AI 特定指標，導致在出現問題時無法進行有效的故障排除和風險審計。,NIST AI RMF 1.0 (Core: MANAGE 1),維運團隊,在部署平台時，未能根據 AI 系統的特性，規劃和配置有意義的日誌與監控指標。,"NIST SP 800-30 Rev. 1, Appendix D, Table D-3",缺乏 AI 特定的可觀測性 (Observability) 策略,未能將傳統的 IT 監控（CPU、記憶體）與 AI 特有的監控（模型預測漂移、數據分布、推論延遲）相結合。,"NIST AI RMF 1.0, MANAGE 1",6.3 AI 系統資訊,責任制 / 透明度與可解釋性,當模型出現錯誤、偏見或被攻擊時，因缺乏足夠的日誌和監控數據，而無法追溯根源、釐清責任或向監管機構提供證據。,Clause 6.3.4
組織,有形資產,AI 系統 (軟體平台),依賴地獄 (Dependency Hell),AI 專案通常依賴大量且版本敏感的軟體套件，這些套件之間可能存在版本衝突，導致環境難以重現和維護。,NIST AI RMF 1.0 (Core: GOVERN 3.1),開發團隊,開發過程中，未能鎖定所有軟體依賴的精確版本，導致在不同機器或不同時間，環境可能不一致。,"NIST SP 800-30 Rev. 1, Appendix D, Table D-3",缺乏確定性的環境管理工具,未能使用如 Poetry、Conda 或容器化等工具來創建一個可鎖定所有依賴版本、可被精確重現的運行環境。,"NIST AI RMF 1.0, GOVERN 3.1",6.3 AI 系統資訊,可靠性,導致「在我機器上可以跑」的問題，使得模型的訓練結果難以重現，也讓部署過程充滿了不確定性和風險。,Clause 6.8.2
組織,有形資產,AI 系統 (軟體平台),數據庫與資料湖的存取控制不當 (Improper Access Control for Databases/Data Lakes),存放訓練、測試或生產數據的資料庫或資料湖，其存取權限配置過於寬鬆，允許不應有權限的服務或人員存取。,NIST AI RMF 1.0 (Core: GOVERN 2.1),疏忽的內部人員 / 外部攻擊者,攻擊者利用一個低權限的應用程式漏洞，橫向移動存取了整個資料湖中的敏感數據。,"NIST SP 800-30 Rev. 1, Appendix D, Table D-2/D-3",未能實施最小權限原則,未能根據 AI 系統中不同元件的實際需求，為其配置最小化的數據存取權限。,"NIST AI RMF 1.0, GOVERN 2.1",6.4 資料與知識,安全性與隱私,導致大規模的敏感數據洩漏，包括用戶個資、商業機密等，是資料洩漏事件的主要根源之一。,Clause 6.8.2.1
組織,有形資產,AI 系統 (軟體平台),模型服務的冷啟動問題 (Cold Start Problem in Model Serving),在使用無伺服器 (Serverless) 或基於請求自動擴展的平台部署模型時，第一個請求到來時，平台需要花費較長時間來載入模型，導致極高的延遲。,NIST AI RMF 1.0 (Core: MAP 1.3),系統架構師 / 維運團隊,為了節省閒置資源成本而選擇了無伺服器架構，但未能充分考慮其對延遲敏感的 AI 應用的影響。,"NIST SP 800-30 Rev. 1, Appendix D, Table D-3",對服務等級目標 (SLO) 與平台特性評估不足,在選擇部署平台時，未能將模型的延遲要求與平台的啟動時間特性進行匹配和測試。,"NIST AI RMF 1.0, MAP 1.3",6.3 AI 系統資訊,可靠性,對於需要即時反應的 AI 應用（如即時推薦、欺詐檢測），首次請求的超長延遲會嚴重破壞用戶體驗，甚至導致業務失敗。,Clause 6.8.2
組織,有形資產,AI 系統 (軟體平台),不一致的數據預處理流程 (Inconsistent Data Preprocessing Pipeline),線上推論服務所使用的數據預處理軟體（如特徵轉換）與離線訓練時的版本或實作不一致。,NIST AI RMF 1.0 (Core: GOVERN 3.2),開發與維運團隊,訓練流程和推論流程由不同團隊使用不同語言或函式庫開發，導致實作上的細微差異。,"NIST SP 800-30 Rev. 1, Appendix D, Table D-3",缺乏統一的特徵工程與服務框架,未能將數據預處理的程式碼作為一個獨立的、可在訓練和推論時被共同調用的標準化元件進行管理。,"NIST AI RMF 1.0, GOVERN 3.2",6.3 AI 系統資訊,可靠性 / 透明度與可解釋性,導致訓練-服務歪斜 (Train-Serve Skew)，模型在生產環境的表現遠不如預期，且問題難以被追蹤和解釋。,Clause 6.3.4
組織,有形資產,AI 系統 (軟體平台),缺乏災難恢復與業務連續性計畫 (Lack of Disaster Recovery and Business Continuity Plan),整個 AI 軟體平台（包括 MLOps、數據庫、模型服務）部署在單一的地理區域或雲服務可用區，沒有跨區域的災難恢復計畫。,NIST SP 800-30 Rev. 1,環境因素 / 雲服務商,雲服務商的單一可用區發生大規模故障（如斷電、網路中斷），導致平台完全不可用。,"NIST SP 800-30 Rev. 1, Appendix D, Table D-4",缺乏對 AI 系統的業務衝擊分析 (BIA),未能評估 AI 平台中斷對關鍵業務流程的影響，也未能因此投入相應的資源來建立災難恢復能力。,"NIST AI RMF 1.0, PROTECT 2",6.3 AI 系統資訊,可靠性,一旦發生區域性災難，將導致 AI 相關的關鍵業務流程長時間中斷，造成重大的財務和聲譽損失。,Clause 6.8.2
組織,無形資產,聲譽,歧視性決策引發公關危機 (Public Relations Crisis from Discriminatory Decisions),AI 系統因其內在偏見，對特定受保護群體做出了系統性的不公平決策，事件被媒體或社群網路曝光，引發大規模的負面輿論。,NIST AI RMF 1.0 (Core: MANAGE 4),媒體 / 社會大眾,新聞媒體、社群意見領袖或公眾，揭露並傳播了 AI 系統的不公平行為。,"NIST SP 800-30 Rev. 1, Appendix D, Table D-3",未能建立考慮和溝通AI風險的文化 (Failure to foster a culture that considers and communicates AI risk),組織未能預見 AI 偏見可能引發的社會反彈，也缺乏一個透明、誠懇的對外溝通策略與應急預案。,"NIST AI RMF 1.0, GOVERN 4",6.6 社會與環境,公平性 / 責任制,組織被貼上「歧視」、「不道德」的標籤，導致品牌形象嚴重受損，客戶流失，並可能引發抵制活動。,Clause 6.8.2.3
組織,無形資產,聲譽,AI 生成有害或不實內容 (Generation of Harmful or False Content),組織的生成式 AI 服務被濫用，或因自身缺陷，大規模產生並傳播假新聞、仇恨言論或有害內容，使組織被視為這些內容的來源或推手。,MITRE ATLAS: AML.T0043,惡意的模型使用者,惡意用戶利用組織的 AI 工具作為武器，製造和傳播旨在破壞社會穩定或抹黑他人的有害資訊。,"NIST SP 800-30 Rev. 1, Appendix D, Table D-2",對模型輸出內容的審核與過濾不足,系統未能部署有效的內容安全護欄，來過濾和阻止模型生成違反使用政策或法律規範的內容。,"NIST AI RMF 1.0, PROTECT 1.3",6.5 演算法與模型資訊,安全性與隱私 / 責任制,組織的聲譽與有害內容綁定，被認為對社會不負責任，可能面臨內容監管的法律壓力與公眾譴責。,Clause 6.8.2.2
組織,無形資產,聲譽,大規模數據外洩事件 (Major Data Breach Incident),存放 AI 相關數據（訓練數據、用戶數據）的系統遭到入侵，導致大規模敏感個人資訊外洩，事件被公開報導。,NIST AI RMF 1.0 (Core: MAP 3.1),組織犯罪 / 國家級行為者,旨在竊取高價值數據以進行勒索、詐騙或間諜活動的專業攻擊團體。,"NIST SP 800-30 Rev. 1, Appendix D, Table D-2",數據安全與存取控制措施不足,組織未能對其儲存的敏感數據實施充分的加密、存取控制和威脅偵測，使其成為攻擊者的輕易目標。,"NIST AI RMF 1.0, GOVERN 2.1",6.4 資料與知識,安全性與隱私,組織被視為無法保護用戶數據，安全能力受到質疑，導致用戶、合作夥伴和投資者的信任崩潰，聲譽一落千丈。,Clause 6.8.2.1
組織,無形資產,聲譽,AI 系統頻繁故障或性能不穩定 (Frequent System Failure or Unstable Performance),組織對外宣稱其 AI 系統具備高效、可靠的能力，但實際上線後卻頻繁出錯、服務中斷或表現遠不如預期。,NIST AI RMF 1.0 (Core: MANAGE 2),系統元件 / 環境因素,模型的可靠性不足、基礎設施不穩定或未能應對真實世界的數據漂移。,"NIST SP 800-30 Rev. 1, Appendix D, Table D-4",缺乏充分的壓力測試與持續監控,系統在部署前未能經過嚴格的壓力測試，部署後也未能持續監控其性能，無法及時發現並解決問題。,"NIST AI RMF 1.0, MANAGE 2.1",6.3 AI 系統資訊,可靠性,組織的技術能力受到嚴重質疑，被貼上「名不符實」、「不可靠」的標籤，損害其在業界的專業形象與聲譽。,Clause 6.8.2
組織,無形資產,聲譽,缺乏透明度引發的質疑 (Suspicion due to Lack of Transparency),組織的 AI 系統做出了對公眾有重大影響的決策，但拒絕或無法解釋其決策的原因，引發外界對其公正性與意圖的猜疑。,NIST AI RMF 1.0 (Core: GOVERN 4.1),監管機構 / 媒體,監管機構或媒體要求組織對其 AI 的決策過程進行解釋，而組織無法提供滿意的答覆。,"NIST SP 800-30 Rev. 1, Appendix D, Table D-3",未能建立有效的可解釋性與溝通機制,組織未能採用可解釋的 AI 技術，也未能建立一個向利害關係人清晰傳達模型工作原理與決策依據的流程。,"NIST AI RMF 1.0, GOVERN 4.1",6.5 演算法與模型資訊,透明度與可解釋性,組織被認為試圖隱藏其 AI 的運作方式，可能存在暗箱操作或不可告人的目的，從而嚴重損害其公開、透明的聲譽。,Clause 6.3.4
組織,無形資產,聲譽,侵犯智慧財產權的指控 (Accusation of Intellectual Property Infringement),組織在訓練 AI 模型時，未經授權使用了受版權保護的數據（如文章、圖片、程式碼），被原作者或權利方公開指控並提起訴訟。,NIST AI RMF 1.0 (Core: GOVERN 5),權利持有人 / 競爭對手,數據的原始版權所有者，或競爭對手利用此問題來打擊組織的聲譽。,"NIST SP 800-30 Rev. 1, Appendix D, Table D-3",資料來源的合法性與授權追蹤不足,組織缺乏對所用訓練數據來源的智慧財產權進行審查的流程，也未能記錄和管理相關的授權許可。,"NIST AI RMF 1.0, GOVERN 5",6.4 資料與知識,責任制,組織的商業道德受到質疑，被視為不尊重他人智慧財產權，不僅面臨法律風險，其創新能力的聲譽也會受損。,Clause 6.3.4
組織,無形資產,聲譽,誇大不實的 AI 能力宣傳 (Exaggerated and False AI Capability Claims),組織的市場行銷過度誇大其 AI 產品的能力，而用戶實際使用後發現遠未達到宣傳的效果，產生被欺騙的感覺。,NIST AI RMF 1.0 (Core: GOVERN 4.2),行銷/銷售團隊,為了達成業績目標，對 AI 產品的性能、功能或成熟度進行了不實的宣傳。,"NIST SP 800-30 Rev. 1, Appendix D, Table D-3",缺乏對 AI 產品聲明的內部審核機制,組織未能建立一個流程，確保所有對外關於 AI 能力的聲明都經過技術團隊的嚴格驗證和確認。,"NIST AI RMF 1.0, GOVERN 4.2",6.5 演算法與模型資訊,責任制 / 透明度與可解釋性,組織的誠信受到質疑，被認為是為了銷售而欺騙客戶，導致品牌聲譽下降，並可能構成虛假廣告。,Clause 6.3.4
組織,無形資產,聲譽,AI 系統被用於負面社會事件 (AI System Used in Negative Social Incidents),組織開發的 AI 技術（如臉部辨識）被客戶濫用，並在一個廣受爭議的社會事件中扮演了關鍵角色，引發公眾對該技術的倫理聲討。,NIST AI RMF 1.0 (Core: GOVERN 5.1),客戶 / 合作夥伴,購買或使用組織 AI 技術的客戶，將其應用於侵犯人權或引發社會爭議的場景。,"NIST SP 800-30 Rev. 1, Appendix D, Table D-3",缺乏對 AI 系統預期用途與潛在濫用的評估,在銷售或提供 AI 技術時，未能對客戶的預期用途進行充分的倫理審查，也未能預見其被濫用的可能性。,"NIST AI RMF 1.0, GOVERN 5.1",6.6 社會與環境,責任制,即使濫用者是客戶，組織作為技術提供方也會被牽連，其聲譽會因「助紂為虐」而受損，並面臨巨大的社會壓力。,Clause 6.3.4
組織,無形資產,聲譽,對 AI 風險的回應失當 (Improper Response to AI Risks),當 AI 系統的風險（如偏見、安全漏洞）被揭露後，組織採取了否認、隱瞞或推卸責任的態度，而不是積極、透明地解決問題。,NIST AI RMF 1.0 (Core: RESPOND 1),管理階層 / 公關團隊,為了避免承擔短期責任或損失，而做出了長期來看會更嚴重損害聲譽的錯誤決策。,"NIST SP 800-30 Rev. 1, Appendix D, Table D-3",缺乏 AI 事件應急響應與溝通預案,組織沒有為可能發生的 AI 倫理或安全事件，預先準備好一套標準化的調查、響應和溝通流程。,"NIST AI RMF 1.0, RESPOND 1",6.3 AI 系統資訊,責任制,組織的危機處理能力和企業責任感受到嚴重質疑，這種不誠實的態度對聲譽的傷害，往往比風險事件本身更大。,Clause 6.3.4
組織,無形資產,聲譽,AI 對就業的負面衝擊 (Negative Impact of AI on Employment),組織大規模引入 AI 以取代人力，並在過程中採取了不人道的裁員方式，引發了員工、工會和社會對其企業倫理的廣泛批評。,"ISO 42005, Clause 6.8.2.3",組織本身 / 管理階層,為了追求效率和利潤最大化，而忽略了 AI 轉型對員工和社會應負的責任。,"NIST SP 800-30 Rev. 1, Appendix D, Table D-3",缺乏對 AI 社會衝擊的評估與緩解計畫,在決定引入 AI 時，未能全面評估其對員工的衝擊，也未能制定相應的轉職培訓、輔導或補償計畫。,"ISO 42005, Clause 6.8.2.3",6.6 社會與環境,公平性 / 責任制,組織被視為冷酷無情、只顧利益的雇主，不僅嚴重打擊內部員工士氣，也在人才市場和消費者心中留下難以磨滅的負面聲譽。,Clause 6.8.2.3
組織,無形資產,信任,模型決策不可預測且不一致 (Unpredictable and Inconsistent Model Decisions),用戶發現 AI 系統對於相似的輸入，有時會給出截然不同的結果，其行為缺乏穩定性與一致性，讓用戶感到困惑與不可靠。,NIST AI RMF 1.0 (Core: MANAGE 1.1),模型本身,模型的內在隨機性、對輸入的微小變化過於敏感，或因線上學習導致其行為快速變化。,"NIST SP 800-30 Rev. 1, Appendix D, Table D-3",缺乏對模型行為穩定性的長期監控,未能建立機制來追蹤和評估模型決策隨時間的穩定性，也未能向用戶解釋行為變化的原因。,"NIST AI RMF 1.0, MANAGE 1.1",6.5 演算法與模型資訊,可靠性,用戶無法建立對 AI 系統的穩定預期，因此不敢依賴其做出的判斷，從根本上侵蝕了對該系統的信任。,Clause 6.8.2
組織,無形資產,信任,未能保護用戶數據隱私 (Failure to Protect User Data Privacy),用戶數據因安全漏洞、內部濫用或未經同意的二次使用而洩漏，讓用戶感覺其託付給組織的個人資訊沒有得到應有的尊重和保護。,NIST AI RMF 1.0 (Core: PROTECT 1.1),外部攻擊者 / 疏忽的內部人員,旨在竊取或濫用用戶數據的惡意行為者，或因流程疏忽而導致數據暴露的內部員工。,"NIST SP 800-30 Rev. 1, Appendix D, Table D-2/D-3",缺乏貫穿生命週期的隱私保護設計,未能將隱私保護原則（如數據最小化、目的限制）融入 AI 系統的設計、開發和運營的全過程。,"NIST AI RMF 1.0, PROTECT 1.1",6.4 資料與知識,安全性與隱私,用戶一旦感覺到其隱私被侵犯，就會立即且長期地喪失對該組織的信任，並可能轉向競爭對手的產品。,Clause 6.8.2.1
組織,無形資產,信任,決策過程不透明 (Opaque Decision-Making Process),當用戶，特別是利益受到負面影響的用戶，詢問 AI 系統為何做出某項決定時，組織無法提供清晰、易懂的解釋。,NIST AI RMF 1.0 (Core: GOVERN 4.1),開發團隊 / 產品團隊,使用了黑盒子模型，且未能配套開發用戶看得懂的解釋界面或溝通話術。,"NIST SP 800-30 Rev. 1, Appendix D, Table D-3",缺乏面向用戶的可解釋性溝通機制,即使內部有技術性的解釋工具，也未能將其轉化為普通用戶可以理解的語言和形式。,"NIST AI RMF 1.0, GOVERN 4.1",6.5 演算法與模型資訊,透明度與可解釋性,用戶會感覺自己被一個無法理解、無法溝通的權威所支配，這種無力感和神秘感是建立信任的最大障礙。,Clause 6.3.4
組織,無形資產,信任,存在已知的偏見但未被解決 (Known Biases Left Unaddressed),組織已經知曉其 AI 系統中存在對某些群體的不公平偏見，但出於成本或其他原因，選擇不修復或拖延修復，讓用戶感覺組織對公平性漠不關心。,NIST AI RMF 1.0 (Core: MANAGE 4.2),管理階層 / 產品團隊,在權衡公平性修復成本與潛在風險時，做出了短期內對公司有利但長期會損害信任的決策。,"NIST SP 800-30 Rev. 1, Appendix D, Table D-3",缺乏有效的偏見緩解與風險治理流程,組織雖然能夠檢測到偏見，但沒有一個清晰、有力的治理流程來推動相關的緩解措施落地。,"NIST AI RMF 1.0, MANAGE 4.2",6.5 演算法與模型資訊,公平性 / 責任制,用戶會認為組織明知故犯，其對公平、倫理的承諾只是空談，從而對組織的價值觀和所有產品都產生不信任。,Clause 6.8.2.3
組織,無形資產,信任,未能提供有效的申訴與補救途徑 (Failure to Provide Effective Contestability and Redress),當用戶認為自己受到了 AI 系統不公正的對待時，找不到一個有效的渠道來提出申訴，或者申訴後也得不到合理的處理和補救。,NIST AI RMF 1.0 (Core: GOVERN 5.2),法律/合規/產品團隊,組織的系統設計忽略了為用戶提供程序正義和權利救濟的配套機制。,"NIST SP 800-30 Rev. 1, Appendix D, Table D-3",未能將 AI 治理與用戶權利流程相結合,組織的 AI 風險管理框架未能與客戶服務、法務和用戶權利響應流程進行有效整合。,"NIST AI RMF 1.0, GOVERN 5.2",6.5 演算法與模型資訊,責任制 / 公平性,用戶會感覺自己的權利被剝奪，在面對一個自動化系統時孤立無援，這種體驗會徹底摧毀對組織的信任。,Clause 6.3.4
組織,無形資產,信任,AI 系統的安全性不可靠 (Unreliable Security of AI System),組織的 AI 系統頻繁被曝出安全漏洞，或被攻擊者輕易地透過對抗性攻擊等手段繞過，讓用戶對其保護自身安全與利益的能力產生懷疑。,NIST AI RMF 1.0 (Core: PROTECT 1),外部攻擊者,旨在證明或利用 AI 系統安全脆弱性的攻擊者。,"NIST SP 800-30 Rev. 1, Appendix D, Table D-2",對 AI 特定安全風險的評估與防護不足,組織的安全體系仍停留在傳統 IT 安全，未能針對 AI 特有的攻擊向量（如模型竊取、對抗性攻擊）建立專門的防護。,"NIST AI RMF 1.0, PROTECT 1",6.3 AI 系統資訊,安全性與隱私,用戶無法信任一個連自身安全都無法保證的 AI 系統，更不敢將自己重要的數據或決策託付給它。,Clause 6.8.2.2
組織,無形資產,信任,對 AI 的能力邊界溝通不清 (Unclear Communication of AI's Capability Boundaries),組織未能清晰地告知用戶其 AI 系統能做什麼、不能做什麼，以及在哪些情況下可能會出錯，導致用戶因誤用或過度信賴而受到損失。,NIST AI RMF 1.0 (Core: GOVERN 4.2),產品/行銷團隊,為了讓產品看起來更強大，而模糊化了 AI 的局限性和潛在風險。,"NIST SP 800-30 Rev. 1, Appendix D, Table D-3",缺乏面向用戶的風險與局限性溝通策略,產品的設計和文檔中，未能以顯著、易懂的方式向用戶說明 AI 的適用範圍和潛在的錯誤類型。,"NIST AI RMF 1.0, GOVERN 4.2",6.5 演算法與模型資訊,透明度與可解釋性,當用戶因未被告知的局限性而受損時，會感覺被誤導或欺騙，從而喪失對組織誠信的信任。,Clause 6.3.4
組織,無形資產,信任,組織內部缺乏 AI 倫理文化 (Lack of AI Ethics Culture within the Organization),從媒體報導或員工爆料中，外界發現組織內部並不重視 AI 倫理，相關的倫理委員會或審查流程形同虛設，讓用戶對其承諾產生懷疑。,NIST AI RMF 1.0 (Core: GOVERN 1),媒體 / 吹哨人 (Whistleblower),揭露組織內部在 AI 倫理實踐上的不足或虛偽。,"NIST SP 800-30 Rev. 1, Appendix D, Table D-3",AI 治理框架未能有效落地,組織雖然制定了 AI 倫理原則，但未能將其轉化為可執行的政策、工具和考核指標，使其在業務壓力下被忽略。,"NIST AI RMF 1.0, GOVERN 1",6.6 社會與環境,責任制,用戶會認為該組織的 AI 倫理只是公關說辭，無法信任其能夠在利益與道德之間做出正確的選擇。,Clause 6.3.4
組織,無形資產,信任,AI 系統的長期價值不符預期 (Long-term Value of AI Does Not Meet Expectations),組織承諾其 AI 系統能為用戶帶來持續的價值，但隨著時間推移，模型未能更新，性能衰退，無法解決用戶的新問題，讓用戶感覺被「套牢」。,NIST AI RMF 1.0 (Core: MANAGE 2.2),維運團隊 / 產品團隊,組織「重開發、輕維運」，未能投入足夠的資源來持續監控、維護和升級已部署的 AI 系統。,"NIST SP 800-30 Rev. 1, Appendix D, Table D-3",缺乏 AI 產品的生命週期管理策略,未能將 AI 系統視為一個需要持續投入和迭代的產品來進行管理。,"NIST AI RMF 1.0, MANAGE 2.2",6.3 AI 系統資訊,可靠性,用戶對組織兌現長期承諾的能力產生懷疑，從而喪失了建立長期合作關係的信任基礎。,Clause 6.8.2
組織,無形資產,信任,自動化決策取代人類專業判斷 (Automated Decisions Replacing Human Expertise),在需要高度專業知識和人性化考量的領域（如醫療、法律），組織過度依賴 AI 的自動化決策，而忽略或取代了人類專家的角色，讓用戶感到不安。,"ISO 42005, Clause 6.3.4",系統設計師 / 產品團隊,為了追求效率和成本，而設計了一個將人類從關鍵決策迴路中完全排除的自動化系統。,"NIST SP 800-30 Rev. 1, Appendix D, Table D-3",未能建立有效的人機協作 (Human-in-the-loop) 機制,系統的設計未能清晰地界定 AI 和人類專家的職責邊界，也未能為人類專家提供有效的監督和干預工具。,"NIST AI RMF 1.0, GOVERN 5.2",6.5 演算法與模型資訊,責任制 / 可靠性,用戶無法信任一個完全沒有人類監督和同理心的機器來處理他們最重要、最敏感的事務。,Clause 6.3.4
組織,無形資產,智慧財產權 ,模型權重檔案被竊取 (Theft of Model Weights File),組織投入大量資源訓練出的模型權重檔案，被惡意內部人員或外部攻擊者直接竊取。,MITRE ATLAS: AML.T0015,敵對的內部人員 / 外部攻擊者,旨在獲取組織最核心的技術資產，以複製產品或出售牟利。,"NIST SP 800-30 Rev. 1, Appendix D, Table D-2",對模型權重檔案的存取控制與加密不足,未能將模型權重視為最高等級的商業機密，並對其儲存和傳輸進行嚴格的加密與權限管理。,"NIST AI RMF 1.0, GOVERN 2",6.5 演算法與模型資訊,安全性與隱私,直接導致組織核心智慧財產權的喪失，削弱其市場競爭力，其損失可能難以估量。,Clause 6.8.2.1
組織,無形資產,智慧財產權 ,透過 API 進行模型萃取 (Model Extraction via API),競爭對手透過合法或非法的 API 存取，對模型進行大量查詢，並利用這些查詢結果訓練出一個功能高度相似的替代模型。,MITRE ATLAS: AML.T0017,競爭對手,旨在以極低的成本複製組織耗費巨資研發出的模型能力，進行不正當競爭。,"NIST SP 800-30 Rev. 1, Appendix D, Table D-2",對 API 的監控與異常檢測不足,未能部署有效的機制來偵測和阻止疑似模型萃取行為的異常 API 查詢模式。,"NIST AI RMF 1.0, PROTECT 1.3",6.5 演算法與模型資訊,安全性與隱私,組織模型的智慧財產權被間接竊取，其獨特的市場優勢被削弱，投入的研發成本付諸東流。,Clause 6.8.2.1
組織,無形資產,智慧財產權 ,專有的訓練數據被竊取 (Theft of Proprietary Training Data),組織花費大量成本收集、清洗和標註的、具有高度商業價值的專有訓練數據集被竊取。,NIST AI RMF 1.0 (Core: MAP 3.1),組織犯罪 / 競爭對手,數據本身就是一種極其寶貴的資產，竊取數據可以用於訓練自己的模型，或直接削弱對手的數據優勢。,"NIST SP 800-30 Rev. 1, Appendix D, Table D-2",對數據資產的安全防護等級不足,未能像保護模型一樣，對同樣重要的專有數據集實施同等級別的存取控制、加密和監控措施。,"NIST AI RMF 1.0, GOVERN 2.1",6.4 資料與知識,安全性與隱私,組織喪失了其 AI 模型的根本優勢來源，即獨特的數據資產，其長期競爭力受到嚴重打擊。,Clause 6.8.2.1
